platform,pump_id,month,coin_rank,n_exchanges,pair_count,channel,exchange,max_price_inc_pct,post_pump_change_pct,server_members,views,pump_type,date
Telegram,133,4,1453,4,1,Crypto4Pumps,Other,12.0478,-54.5904,0,4546,target,2018-04-13
Telegram,134,4,242,11,9,MoonPumpSignals,None,9.4337,-40.6045,0,41766,target,2018-04-28
Telegram,135,5,246,15,28,PureInvestments,None,3.9205,-49.5583,0,4584,target,2018-05-23
Telegram,136,1,148,24,58,CoinPumpNation,None,3.4377,10.8983,0,11081,target,2018-01-05
Telegram,137,3,194,6,1,AlphaPumpLeague,None,4.9302,-56.14,0,10472,obvious,2018-03-17
Telegram,138,5,66,7,6,CoinPumpNation,Bittrex,2.5692,3.4006,0,1629,target,2018-05-30
Telegram,139,4,65,68,35,Crypto4Pumps,None,0.8724,-73.162,0,23274,target,2018-04-14
Telegram,140,4,53,5,18,PumpKingCrypto,None,2.843,-64.3226,0,11462,target,2018-04-18
Telegram,141,2,663,30,2,PumpKingCrypto,Bittrex,6.2083,-67.6306,0,7721,target,2018-02-11
Telegram,142,6,61,3,1,Crypto4Pumps,Binance,11.7933,-49.7453,0,16492,target,2018-06-14
Telegram,143,3,1442,2,1,PureInvestments,None,20.4373,-61.2882,0,6497,obvious,2018-03-17
Telegram,144,6,130,35,18,MoonPumpSignals,Bittrex,2.6895,-36.7885,0,14224,obvious,2018-06-05
Telegram,145,5,1191,5,31,CryptoPumpAlerts,Bittrex,5.9083,11.7294,0,1391,target,2018-05-29
Telegram,146,5,180,3,1,CryptoPumpAlerts,None,1.0013,6.3699,0,13473,target,2018-05-26
Telegram,147,1,61,30,14,CryptoPumpAlerts,Binance,3.5353,-64.3585,0,7896,target,2018-01-04
Telegram,148,4,793,6,4,CryptoPumpAlerts,Binance+Bittrex,11.8749,-54.2927,0,8001,target,2018-04-06
Telegram,149,2,881,5,1,CoinPumpNation,None,5.2362,-60.6828,0,3326,target,2018-02-19
Telegram,150,2,111,9,5,CryptoPumpAlerts,Binance,2.4786,4.3181,0,5625,target,2018-02-12
Telegram,151,2,186,12,7,PureInvestments,None,1.8625,6.2527,0,5487,target,2018-02-20
Telegram,152,3,111,9,1,AlphaPumpLeague,Binance,6.0674,6.5666,0,2589,target,2018-03-03
Telegram,153,4,225,100,43,CoinPumpNation,None,6.1615,-48.0535,0,9149,target,2018-04-23
Telegram,154,4,276,8,7,ElitePumpGroup,Bittrex,15.5991,16.798,0,25472,target,2018-04-01
Telegram,155,3,182,9,11,AlphaPumpLeague,None,2.396,15.5846,0,2041,target,2018-03-07
Telegram,156,2,49,14,28,Crypto4Pumps,None,5.7287,-53.3667,0,10225,target,2018-02-21
Telegram,157,3,148,67,47,Crypto4Pumps,None,5.4893,-41.9166,0,4746,target,2018-03-12
Telegram,158,5,471,1,1,Big Pump Signal,Other,7.5503,-40.9644,0,4305,target,2018-05-07
Telegram,159,1,207,16,16,CryptoPumpAlerts,Other,30.4747,1.0831,0,7204,target,2018-01-27
Telegram,160,5,186,10,1,CryptoPumpAlerts,Binance,0.4983,-33.4936,0,7297,target,2018-05-19
Telegram,161,3,108,4,1,PumpHunters,None,1.8639,-50.756,0,7903,target,2018-03-10
Telegram,162,4,145,6,1,PumpKingCrypto,None,1.4095,-45.5375,0,2607,target,2018-04-22
Telegram,163,5,887,8,1,Crypto4Pumps,None,6.9599,-65.3828,0,16950,target,2018-05-05
Telegram,164,4,90,8,5,CryptoPumpAlerts,Binance,2.2378,2.8478,0,7243,target,2018-04-15
Telegram,165,4,478,10,14,Big Pump Signal,None,2.8836,-19.5954,0,11158,obvious,2018-04-06
Telegram,166,6,261,50,9,CoinPumpNation,Other,0.927,-70.0116,0,18828,target,2018-06-19
Telegram,167,1,312,11,7,Crypto4Pumps,None,5.6569,-17.1666,0,1339,target,2018-01-09
Telegram,168,3,129,4,1,Big Pump Signal,None,5.3321,3.2869,0,11508,target,2018-03-09
Telegram,169,6,182,5,1,Big Pump Signal,Bittrex,2.868,-18.9365,0,5890,obvious,2018-06-07
Telegram,170,5,249,8,40,ElitePumpGroup,Other,3.296,-19.5208,0,15965,target,2018-05-25
Telegram,171,4,157,9,1,Crypto4Pumps,Bittrex,0.688,-56.5745,0,3442,target,2018-04-26
Telegram,172,2,337,10,1,MoonPumpSignals,None,14.6438,-9.2119,0,14879,target,2018-02-06
Telegram,173,3,377,12,6,PureInvestments,None,2.2435,-2.757,0,2780,target,2018-03-06
Telegram,174,5,1761,20,11,PumpKingCrypto,Bittrex,18.6275,8.139,0,9494,target,2018-05-18
Telegram,175,5,321,9,8,Big Pump Signal,Bittrex,2.2766,-41.4728,0,8595,obvious,2018-05-20
Telegram,176,3,45,8,37,PumpHunters,None,1.6163,-56.3642,0,5933,target,2018-03-27
Telegram,177,1,711,18,2,Big Pump Signal,None,10.9174,-64.6469,0,2834,obvious,2018-01-25
Telegram,178,5,208,36,7,PureInvestments,Binance,2.4891,-26.0628,0,4957,target,2018-05-24
Telegram,179,4,1524,5,13,CryptoCartelOriginal,Binance+Bittrex,34.8226,-72.7172,0,14724,target,2018-04-02
Telegram,180,6,938,4,4,CryptoPumpAlerts,Bittrex,7.894,-40.7914,0,23703,target,2018-06-01
Telegram,181,3,159,23,26,Crypto4Pumps,None,4.1229,-23.5407,0,35117,target,2018-03-07
Telegram,182,3,479,6,1,ElitePumpGroup,Binance,4.1401,7.1365,0,10545,target,2018-03-13
Telegram,183,3,147,2,2,PumpHunters,None,2.8741,-0.3833,0,8361,obvious,2018-03-24
Telegram,184,4,251,18,20,Big Pump Signal,None,4.1221,-52.455,0,9875,target,2018-04-26
Telegram,185,3,459,18,9,CryptoCartelOriginal,None,7.2438,17.795,0,34366,target,2018-03-23
Telegram,186,1,680,24,4,CryptoPumpAlerts,None,12.6697,12.987,0,10490,target,2018-01-26
Telegram,187,3,559,3,1,AlphaPumpLeague,Other,17.7136,-59.534,0,7280,obvious,2018-03-13
Telegram,188,2,268,13,41,PureInvestments,None,13.5082,0.8448,0,5363,target,2018-02-19
Telegram,189,5,2036,5,1,Crypto4Pumps,None,5.0907,11.812,0,5912,target,2018-05-05
Telegram,190,2,180,13,1,Crypto4Pumps,None,5.627,-40.2697,0,9368,target,2018-02-03
Telegram,191,4,59,23,4,CryptoPumpAlerts,Other,1.0465,4.1533,0,3590,target,2018-04-25
Telegram,192,4,70,20,4,PureInvestments,Binance,3.2738,-31.6034,0,3989,obvious,2018-04-13
Telegram,193,1,940,7,2,Big Pump Signal,None,2.9857,-44.2408,0,6410,obvious,2018-01-22
Telegram,194,4,234,21,29,CryptoPumpAlerts,Binance,11.7209,-69.2537,0,4621,target,2018-04-29
Telegram,195,5,289,30,23,MoonPumpSignals,None,2.8424,10.2898,0,11183,target,2018-05-18
Telegram,196,4,154,6,2,Big Pump Signal,Bittrex,2.5181,6.8803,0,11937,target,2018-04-04
Telegram,197,4,167,11,6,Big Pump Signal,Other,4.2311,-49.0147,0,8439,target,2018-04-20
Telegram,198,5,123,10,8,CryptoCartelOriginal,None,1.3365,-49.3728,0,10222,obvious,2018-05-25
Telegram,199,6,382,5,1,CoinPumpNation,None,1.6385,-62.1423,0,7469,target,2018-06-08
Telegram,200,5,229,2,2,CoinPumpNation,None,10.909,-0.084,0,276,obvious,2018-05-13
Telegram,201,3,370,9,1,Crypto4Pumps,Bittrex,1.7544,-53.5401,0,3233,target,2018-03-20
Telegram,202,4,340,14,3,CoinPumpNation,Bittrex,14.6852,6.6618,0,12278,obvious,2018-04-23
Telegram,203,4,171,11,6,CoinPumpNation,Binance,10.9444,-49.4604,0,3335,target,2018-04-06
Telegram,204,3,67,19,7,CryptoPumpAlerts,None,2.4357,-54.311,0,13910,target,2018-03-03
Telegram,205,4,62,30,23,CryptoRocketPumps,Binance+Bittrex,4.1689,-45.3123,0,14585,target,2018-04-20
Telegram,206,5,2036,14,6,Big Pump Signal,Bittrex,10.8765,-62.5594,0,5408,obvious,2018-05-01
Telegram,207,3,944,4,1,CryptoPumpAlerts,Bittrex,62.6945,-52.8907,0,4112,target,2018-03-15
Telegram,208,6,834,2,4,PumpMasterBTC,None,13.4287,17.1954,0,6819,target,2018-06-09
Telegram,209,6,136,13,12,Crypto4Pumps,None,0.9936,-36.72,0,6518,target,2018-06-13
Telegram,210,3,252,58,39,AlphaPumpLeague,Binance+Bittrex,9.7046,-48.8735,0,11474,target,2018-03-28
Telegram,211,1,120,5,4,CryptoPumpAlerts,None,4.02,12.7107,0,940,obvious,2018-01-29
Telegram,212,6,77,33,5,Crypto4Pumps,Other,3.0207,-65.4862,0,3643,target,2018-06-20
Telegram,213,2,147,39,266,Big Pump Signal,Bittrex,3.1775,10.1582,0,2881,target,2018-02-11
Telegram,214,5,824,1,1,CryptoPumpAlerts,Bittrex,9.9305,14.7141,0,809,obvious,2018-05-19
Telegram,215,1,533,11,4,AlphaPumpLeague,None,12.5253,14.4031,0,4457,target,2018-01-05
Telegram,216,2,105,27,8,AlphaPumpLeague,Bittrex,1.7313,-36.4979,0,1911,target,2018-03-01
Telegram,217,2,189,9,2,PumpHunters,Bittrex,0.7725,-67.9959,0,4879,target,2018-02-26
Telegram,218,3,491,4,1,Big Pump Signal,None,18.3042,-50.1092,0,4483,target,2018-03-12
Telegram,219,6,150,8,1,PumpKingCrypto,None,1.4236,-54.1684,0,9912,target,2018-05-31
Telegram,220,2,269,7,11,CryptoPumpAlerts,None,9.6739,-54.4988,0,5478,target,2018-02-25
Telegram,221,2,359,7,1,Crypto4Pumps,None,0.8758,-65.8172,0,1625,target,2018-01-31
Telegram,222,5,356,6,7,Big Pump Signal,None,1.3368,-55.9778,0,9058,target,2018-05-04
Telegram,223,6,314,7,5,CryptoPumpAlerts,Binance,3.1105,15.6523,0,51998,target,2018-05-31
Telegram,224,3,139,41,11,CryptoPumpAlerts,None,1.9328,-0.7139,0,16739,target,2018-03-07
Telegram,225,5,152,4,2,ElitePumpGroup,Bittrex,7.7004,-60.9719,0,11990,target,2018-05-28
Telegram,226,1,90,3,1,CryptoPumpAlerts,Binance,23.528,-0.2815,0,5737,target,2018-01-15
Telegram,227,5,61,61,7,Big Pump Signal,None,1.5167,13.7768,0,4472,target,2018-05-06
Telegram,228,5,226,9,1,Big Pump Signal,Binance,1.076,-43.005,0,4218,target,2018-05-29
Telegram,229,6,521,5,4,ElitePumpGroup,Binance,14.9659,17.9022,0,8285,target,2018-06-12
Telegram,230,4,72,17,14,MoonPumpSignals,Bittrex,37.6607,8.8134,0,2596,target,2018-04-22
Telegram,231,6,320,11,5,Crypto4Pumps,None,2.4937,17.2496,0,8144,target,2018-06-16
Telegram,232,3,506,4,1,PumpMasterBTC,None,12.8217,10.9191,0,3866,target,2018-03-05
Telegram,233,5,48,36,12,MoonPumpSignals,Binance,0.7356,-47.3289,0,1594,target,2018-05-22
Telegram,234,5,196,5,1,Crypto4Pumps,Bittrex,1.7938,-42.1402,0,3820,obvious,2018-05-29
Telegram,235,2,1098,4,1,Crypto4Pumps,None,14.9127,-1.2083,0,19418,target,2018-03-01
Telegram,236,6,411,1,1,CryptoRocketPumps,None,6.1788,-59.7084,0,7601,target,2018-06-22
Telegram,237,5,46,67,60,CryptoPumpAlerts,Bittrex,1.7347,-64.5691,0,338,obvious,2018-05-21
Telegram,238,5,452,7,2,Crypto4Pumps,Bittrex,1.9817,16.4513,0,3834,target,2018-05-23
Telegram,239,3,128,27,106,CoinPumpNation,None,1.6574,14.6235,0,14482,target,2018-03-31
Telegram,240,5,466,12,1,Crypto4Pumps,Binance,0.6741,8.2528,0,5260,obvious,2018-05-17
Telegram,241,3,135,23,4,PureInvestments,None,7.4938,-41.8974,0,10518,target,2018-03-29
Telegram,242,6,239,11,5,PureInvestments,Bittrex,5.3444,-24.1587,0,4847,obvious,2018-06-11
Telegram,243,1,154,19,10,PureInvestments,None,2.3066,-53.7926,0,7898,target,2018-01-10
Telegram,244,4,251,4,1,MoonPumpSignals,None,6.9122,12.622,0,6968,target,2018-04-04
Telegram,245,1,150,4,3,ElitePumpGroup,None,3.5882,-65.2432,0,3924,target,2018-01-14
Telegram,246,5,205,10,5,CryptoPumpAlerts,None,2.3184,4.3826,0,10949,target,2018-05-19
Telegram,247,3,87,9,1,PumpMasterBTC,Binance,1.8311,-72.642,0,24593,target,2018-03-14
Telegram,248,6,389,31,11,Big Pump Signal,Bittrex,4.3564,-44.9502,0,9354,obvious,2018-06-03
Telegram,249,6,293,14,2,Crypto4Pumps,None,3.1639,9.9314,0,7383,target,2018-06-13
Telegram,250,3,58,11,2,CryptoRocketPumps,None,1.5808,-60.7585,0,3323,target,2018-03-19
Telegram,251,5,611,5,1,CryptoRocketPumps,None,1.8671,-46.3048,0,14915,target,2018-05-04
Telegram,252,5,214,13,8,CoinPumpNation,Bittrex,6.7447,-51.0857,0,4397,target,2018-05-17
Telegram,253,4,289,9,31,PumpKingCrypto,None,5.9531,-30.6328,0,10850,target,2018-04-12
Telegram,254,3,497,10,5,Big Pump Signal,Bittrex,13.213,5.678,0,12854,target,2018-03-19
Telegram,255,2,336,10,1,MoonPumpSignals,Binance,0.7328,-39.291,0,15548,target,2018-01-31
Telegram,256,1,713,1,1,Big Pump Signal,Bittrex,9.3189,8.0698,0,15794,target,2018-01-25
Telegram,257,4,192,1,1,CryptoPumpAlerts,None,2.9852,-33.9024,0,15320,target,2018-04-12
Telegram,258,4,634,5,1,CryptoPumpAlerts,None,14.2481,-37.3612,0,2346,target,2018-04-13
Telegram,259,4,279,17,10,AlphaPumpLeague,Other,7.7344,10.3676,0,3279,target,2018-04-04
